Company Common Name,Date,Source,RIC,Headline,Exchange Name,TRBC Economic Sector Name,CUSIP,Attack,Data Breach,Software Breach,Cyber breach,Social breach,Ransomware,Shutdown,Twitter breach,Facebook breach,Stolen Funds,Mitigation,ticker,exchange,Date_day
Indigo Books and Music Inc,2023-02-09 11:11:04,TWTR,IDG.TO,Indigo Books & Music Inc. is continuing to investigate what it calls a 'cybersecurity incident' affecting its website and electronic payment systems in stores. bit.ly/3XkaNFK,TORONTO STOCK EXCHANGE,Consumer Cyclicals,45567S10,Shutdown,,,,,,1.0,,,,,IDG,TO,2023-02-09
Inogen Inc,2018-04-13 09:34:21,RTRS,INGN.OQ,UPDATE 2-Oxygen device maker Inogen discloses customer data breach,NASDAQ/NGS (GLOBAL SELECT MARKET),Healthcare,45780L10,Shutdown,1.0,,,,,1.0,,,,,INGN,OQ,2018-04-13
Insulet Corp,2023-01-23 13:47:25,TWTR,PODD.O,Insulet hit by data breach affecting 29K insulin pump users,unknown,Healthcare,45784P10,Data-breach,1.0,,,,,,,,,,PODD,O,2023-01-23
Intel Corp,2018-01-02 19:00:00,HAMSPE,INTC.OQ,Hardware vulnerability exposed in majority of computers made in the last decade,NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,45814010,Code-vulnerability,,1.0,,,,,,,,,INTC,OQ,2018-01-02
Intel Corp,2018-08-14 13:12:31,RTRS,INTC.O,MEDIA-Three more data-leaking security holes found in Intel chips- the Register,unknown,Technology,45814010,Code-vulnerability,,1.0,,,,,,,,,INTC,O,2018-08-14
Intel Corp,2021-01-21 17:28:59,RTRS,INTC.O,MEDIA-Intel says hacker obtained financially sensitive information - FT,unknown,Technology,45814010,Data-breach,1.0,,,,,,,,,,INTC,O,2021-01-21
Intuit Inc,2022-04-22 12:52:52,RTRS,INTU.O,Mailchimp says an internal tool was used to breach hundreds of accounts,unknown,Technology,46120210,Data-breach,1.0,,,1.0,,,,,,,INTU,O,2022-04-22
JAKKS Pacific Inc,2022-12-15 17:27:00,RTRS,JAKK.O,"JAKKS PACIFIC INC - ON DEC 14, LEARNED THAT CERTAIN DATA, INCLUDING PERSONAL DATA OF EMPLOYEES, HAD BEEN EXTRACTED FROM COMPANY'S IT SYSTEM",unknown,Consumer Cyclicals,47012E40,Data-breach,1.0,,,,,,,,,,JAKK,O,2022-12-15
Kewaunee Scientific Corp,2021-11-10 17:36:14,RTRS,KEQU.O,BRIEF-Kewaunee Scientific Says Experienced A Criminal Network Cyber-Attack That Led To A Disruption Of Its Domestic Operations,unknown,Industrials,49285410,Shutdown,,,,,,1.0,,,,,KEQU,O,2021-11-10
Lee Enterprises Inc,2021-11-19 17:35:36,RTRS,LEE.O,MEDIA-Iranian hackers broke into newspaper publisher Lee Enterprises ahead of 2020 election - WSJ,unknown,Consumer Cyclicals,52376840,Disinformation,,,1.0,,,,,,,,LEE,O,2021-11-19
Lendingtree Inc,2022-07-15 13:10:11,AMERBA,TREE.O,"LendingTree denies it's the source of a data breach affecting 200,000",unknown,Financials,52603B10,Data-breach,1.0,,,,,,,,,,TREE,O,2022-07-15
Limestone Bancorp Inc,2023-09-15 13:45:32,PRN,LMST.O,Limestone Addresses a Data Security Incident,unknown,Financials,53262L10,Data-breach,1.0,,,,,,,,,,LMST,O,2023-09-15
Loblaw Companies Ltd,2017-02-08 19:00:00,HAMSPE,L.TO,PC Plus rewards collectors warned to beef up passwords after security breach,TORONTO STOCK EXCHANGE,Consumer Non-Cyclicals,53948110,Data-breach,1.0,,,,,,,,,,L,TO,2017-02-08
MKS Instruments Inc,2023-02-06 08:02:29,RTRS,MKSI.O,"MKS INSTRUMENTS INC-ON FEB 3, CO IDENTIFIED IT HAD BECOME SUBJECT TO RANSOMWARE EVENT",unknown,Industrials,55306N10,Ransomware,,,,,1.0,1.0,,,,,MKSI,O,2023-02-06
Magellan Health Inc,2020-05-13 11:52:00,THTPOST,MGLN.O,"Healthcare Giant Magellan Struck with Ransomware, Data Breach",unknown,Healthcare,55907920,Data-breach,1.0,,,1.0,1.0,,,,,,MGLN,O,2020-05-13
